Aceh;48.73;49.88;50.09;50.04;51.27;50.12;49.91;49.96;100.00;100.00;100.00;100.00
Sumatera Utara;49.36;50.00;50.69;49.94;50.64;50.00;49.31;50.06;100.00;100.00;100.00;100.00
Sumatera Barat;48.98;49.41;50.64;49.60;51.02;50.59;49.36;50.40;100.00;100.00;100.00;100.00
R i a u;51.39;51.50;51.22;51.51;48.61;48.50;48.78;48.49;100.00;100.00;100.00;100.00
Kepulauan Riau;51.27;50.20;50.01;51.35;48.73;49.80;49.99;48.65;100.00;100.00;100.00;100.00
J a m b i;50.18;51.10;51.23;51.12;49.82;48.90;48.77;48.88;100.00;100.00;100.00;100.00
Sumatera Selatan;49.94;50.76;51.25;50.90;50.06;49.24;48.75;49.10;100.00;100.00;100.00;100.00
Kepulauan Bangka Belitung;50.74;51.73;51.75;51.91;49.26;48.27;48.25;48.09;100.00;100.00;100.00;100.00
Bengkulu;50.78;50.80;51.28;51.12;49.22;49.20;48.72;48.88;100.00;100.00;100.00;100.00
Lampung;50.67;51.41;51.68;51.48;49.33;48.59;48.32;48.52;100.00;100.00;100.00;100.00
DKI Jakarta;49.05;49.90;50.05;50.69;50.95;50.10;49.95;49.31;100.00;100.00;100.00;100.00
Jawa Barat;49.96;50.43;50.96;50.88;50.04;49.57;49.04;49.12;100.00;100.00;100.00;100.00
Banten;50.72;51.06;51.01;51.16;49.28;48.94;48.99;48.84;100.00;100.00;100.00;100.00
Jawa Tengah;49.06;49.56;49.80;49.69;50.94;50.44;50.20;50.31;100.00;100.00;100.00;100.00
DI Yogyakarta;48.59;49.31;48.64;49.43;51.41;50.69;51.36;50.57;100.00;100.00;100.00;100.00
Jawa Timur;48.63;49.45;49.46;49.36;51.37;50.55;50.54;50.64;100.00;100.00;100.00;100.00
B a l i;49.97;50.42;50.42;50.40;50.03;49.58;49.58;49.60;100.00;100.00;100.00;100.00
Nusa Tenggara Barat;47.40;48.59;47.82;48.53;52.60;51.41;52.18;51.47;100.00;100.00;100.00;100.00
Nusa Tenggara Timur;49.50;49.94;49.43;49.67;50.50;50.06;50.57;50.33;100.00;100.00;100.00;100.00
Kalimantan Barat;49.95;51.24;51.34;51.11;50.05;48.76;48.66;48.89;100.00;100.00;100.00;100.00
Kalimantan Tengah;50.11;51.82;51.64;52.16;49.89;48.18;48.36;47.84;100.00;100.00;100.00;100.00
Kalimantan Selatan;49.25;50.70;50.20;50.63;50.75;49.30;49.80;49.37;100.00;100.00;100.00;100.00
Kalimantan Timur;51.43;52.42;52.26;52.64;48.57;47.58;47.74;47.36;100.00;100.00;100.00;100.00
Sulawesi Utara;50.52;51.22;51.08;51.09;49.48;48.78;48.92;48.91;100.00;100.00;100.00;100.00
Gorontalo;50.40;50.46;50.32;50.18;49.60;49.54;49.68;49.82;100.00;100.00;100.00;100.00
Sulawesi Tengah;50.84;51.24;51.31;51.26;49.16;48.76;48.69;48.74;100.00;100.00;100.00;100.00
Sulawesi Selatan;48.12;48.48;48.84;48.85;51.88;51.52;51.16;51.15;100.00;100.00;100.00;100.00
Sulawesi Barat;50.46;50.19;50.35;50.20;49.54;49.81;49.65;49.80;100.00;100.00;100.00;100.00
Sulawesi Tenggara;49.43;49.92;50.03;50.26;50.57;50.08;49.97;49.74;100.00;100.00;100.00;100.00
Maluku;50.14;50.43;50.20;50.56;49.86;49.57;49.80;49.44;100.00;100.00;100.00;100.00
Maluku Utara;50.70;50.59;51.80;51.16;49.30;49.41;48.20;48.84;100.00;100.00;100.00;100.00
P a p u a;51.72;52.47;52.85;53.16;48.28;47.53;47.15;46.84;100.00;100.00;100.00;100.00
Papua Barat;50.96;53.11;51.73;52.91;49.04;46.89;48.27;47.09;100.00;100.00;100.00;100.00
